"Step","Our Work - island_0_best_score","Our Work - island_0_best_score__MIN","Our Work - island_0_best_score__MAX","Benchmark - island_0_best_score","Benchmark - island_0_best_score__MIN","Benchmark - island_0_best_score__MAX"
"829","-209.9","-209.9","-209.9","","",""
"832","","","","-208.8","-208.8","-208.8"
"833","-209.9","-209.9","-209.9","","",""
"834","","","","-208.8","-208.8","-208.8"
"836","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"837","","","","-208.8","-208.8","-208.8"
"845","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"846","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"847","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"848","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"849","","","","-208.8","-208.8","-208.8"
"850","","","","-208.8","-208.8","-208.8"
"852","","","","-208.8","-208.8","-208.8"
"854","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"855","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"856","","","","-208.8","-208.8","-208.8"
"857","-209.9","-209.9","-209.9","","",""
"858","-209.9","-209.9","-209.9","","",""
"859","-209.9","-209.9","-209.9","","",""
"860","-209.9","-209.9","-209.9","","",""
"861","-209.9","-209.9","-209.9","","",""
"862","-209.9","-209.9","-209.9","","",""
"863","-209.9","-209.9","-209.9","","",""
"866","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"868","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"869","","","","-208.8","-208.8","-208.8"
"870","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"871","","","","-208.8","-208.8","-208.8"
"872","-209.9","-209.9","-209.9","","",""
"873","","","","-208.8","-208.8","-208.8"
"877","","","","-208.8","-208.8","-208.8"
"879","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"881","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"882","","","","-208.8","-208.8","-208.8"
"883","","","","-208.8","-208.8","-208.8"
"884","","","","-208.8","-208.8","-208.8"
"885","","","","-208.8","-208.8","-208.8"
"886","","","","-208.8","-208.8","-208.8"
"888","-209.9","-209.9","-209.9","","",""
"889","-209.9","-209.9","-209.9","","",""
"890","","","","-208.8","-208.8","-208.8"
"891","-209.9","-209.9","-209.9","","",""
"892","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"898","-209.9","-209.9","-209.9","","",""
"899","-209.9","-209.9","-209.9","","",""
"900","-209.9","-209.9","-209.9","","",""
"901","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"903","","","","-208.8","-208.8","-208.8"
"904","-209.9","-209.9","-209.9","","",""
"905","-209.9","-209.9","-209.9","","",""
"907","","","","-208.8","-208.8","-208.8"
"908","","","","-208.8","-208.8","-208.8"
"910","","","","-208.8","-208.8","-208.8"
"912","","","","-208.8","-208.8","-208.8"
"919","-209.9","-209.9","-209.9","","",""
"921","-209.9","-209.9","-209.9","","",""
"922","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"924","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"926","","","","-208.8","-208.8","-208.8"
"929","","","","-208.8","-208.8","-208.8"
"934","-209.9","-209.9","-209.9","","",""
"937","","","","-208.8","-208.8","-208.8"
"939","","","","-208.8","-208.8","-208.8"
"941","","","","-208.8","-208.8","-208.8"
"942","","","","-208.8","-208.8","-208.8"
"943","","","","-208.8","-208.8","-208.8"
"944","","","","-208.8","-208.8","-208.8"
"947","-209.9","-209.9","-209.9","","",""
"949","-209.9","-209.9","-209.9","","",""
"951","-209.9","-209.9","-209.9","","",""
"952","-209.9","-209.9","-209.9","","",""
"953","-209.9","-209.9","-209.9","","",""
"954","-209.9","-209.9","-209.9","","",""
"955","-209.9","-209.9","-209.9","","",""
"956","-209.9","-209.9","-209.9","","",""
"957","-209.9","-209.9","-209.9","","",""
